code,site,location,landuse,location_nr
A,A,Haarzuilens,Food_forest,a
B,B,Haarzuilens,Grassland,a
C,C,Haarzuilens,Forest,a
D,D,Haarzuilens,Arable_field,a
E,E,Vlaardingen,Forest,b
F,F,Vlaardingen,Grassland,b
G,G,Vlaardingen,Food_forest,b
H,H,Boelenslaan,Food_forest,c
I,I,Boelenslaan,Grassland,c
J,J,Boelenslaan,Food_forest,c
K,K,Boelenslaan,Forest,c
L,L,Groesbeek,Arable_field,#N/A
M,M,Groesbeek,Forest,#N/A
N,N,Groesbeek,Grassland,#N/A
O,O,Groesbeek,Food_forest,#N/A
P,P,Sint-Truiden,Food_forest,d
Q,Q,Sint-Truiden,Forest,d
R,R,Sint-Truiden,Grassland,d
S,S,Sint-Truiden,Arable_field,d
T,T,Amsterdam,Grassland,e
U,U,Amsterdam,Food_forest,e
V,V,Amsterdam,Forest,e
W,W,Swalmen,Forest,f
X,X,Swalmen,Grassland,f
Y,Y,Swalmen,Food_forest,f
Z,Z,Nevele,Food_forest,g
AA,AA,Nevele,Arable_field,g
AB,AB,Nevele,Forest,g
AC,AC,Nevele,Grassland,g
AD,AD,Houthulst,Food_forest,h
AE,AE,Houthulst,Grassland,h
AF,AF,Houthulst,Forest,h
AG,AG,Houthulst,Arable_field,h
AH,AH,Rijswijk,Grassland,i
AI,AI,Rijswijk,Food_forest,i
AJ,AJ,Rijswijk,Arable_field,i
AK,AK,Rijswijk,Forest,i
AL,AL,Oostwaard,Grassland,j
AM,AM,Oostwaard,Forest,j
AN,AN,Oostwaard,Food_forest,j
AO,AO,Etten-Leur,Food_forest,k
AP,AP,Etten-Leur,Grassland,k
AQ,AQ,Etten-Leur,Forest,k
AR,AR,Etten-Leur,Arable_field,k
AS,AS,Malden,Grassland,l
AT,AT,Malden,Food_forest,l
AU,AU,Malden,Forest,l
AV,AV,Malden,Arable_field,l
AW,AW,Vaassen,Forest,m
AX,AX,Vaassen,Food_forest,m
AY,AY,Vaassen,Grassland,m
AZ,AZ,Vaassen,Arable_field,m
A1,A,Haarzuilens,Food_forest,a
A2,A,Haarzuilens,Food_forest,a
B1,B,Haarzuilens,Grassland,a
B2,B,Haarzuilens,Grassland,a
C1,C,Haarzuilens,Forest,a
C2,C,Haarzuilens,Forest,a
D1,D,Haarzuilens,Arable_field,a
D2,D,Haarzuilens,Arable_field,a
E1,E,Vlaardingen,Forest,b
E2,E,Vlaardingen,Forest,b
F1,F,Vlaardingen,Grassland,b
F2,F,Vlaardingen,Grassland,b
G1,G,Vlaardingen,Food_forest,b
G2,G,Vlaardingen,Food_forest,b
H1,H,Boelenslaan,Food_forest,c
H2,H,Boelenslaan,Food_forest,c
I1,I,Boelenslaan,Grassland,c
I2,I,Boelenslaan,Grassland,c
J1,J,Boelenslaan,Food_forest,c
J2,J,Boelenslaan,Food_forest,c
K1,K,Boelenslaan,Forest,c
K2,K,Boelenslaan,Forest,c
L1,L,Groesbeek,Arable_field,#N/A
L2,L,Groesbeek,Arable_field,#N/A
M1,M,Groesbeek,Forest,#N/A
M2,M,Groesbeek,Forest,#N/A
N1,N,Groesbeek,Grassland,#N/A
N2,N,Groesbeek,Grassland,#N/A
O1,O,Groesbeek,Food_forest,#N/A
O2,O,Groesbeek,Food_forest,#N/A
P1,P,Sint-Truiden,Food_forest,d
P2,P,Sint-Truiden,Food_forest,d
Q1,Q,Sint-Truiden,Forest,d
Q2,Q,Sint-Truiden,Forest,d
R1,R,Sint-Truiden,Grassland,d
R2,R,Sint-Truiden,Grassland,d
S1,S,Sint-Truiden,Arable_field,d
S2,S,Sint-Truiden,Arable_field,d
T1,T,Amsterdam,Grassland,e
T2,T,Amsterdam,Grassland,e
U1,U,Amsterdam,Food_forest,e
U2,U,Amsterdam,Food_forest,e
V1,V,Amsterdam,Forest,e
V2,V,Amsterdam,Forest,e
W1,W,Swalmen,Forest,f
W2,W,Swalmen,Forest,f
X1,X,Swalmen,Grassland,f
X2,X,Swalmen,Grassland,f
Y1,Y,Swalmen,Food_forest,f
Y2,Y,Swalmen,Food_forest,f
Z1,Z,Nevele,Food_forest,g
Z2,Z,Nevele,Food_forest,g
AA1,AA,Nevele,Arable_field,g
AA2,AA,Nevele,Arable_field,g
AB1,AB,Nevele,Forest,g
AB2,AB,Nevele,Forest,g
AC1,AC,Nevele,Grassland,g
AC2,AC,Nevele,Grassland,g
AD1,AD,Houthulst,Food_forest,h
AD2,AD,Houthulst,Food_forest,h
AE1,AE,Houthulst,Grassland,h
AE2,AE,Houthulst,Grassland,h
AF1,AF,Houthulst,Forest,h
AF2,AF,Houthulst,Forest,h
AG1,AG,Houthulst,Arable_field,h
AG2,AG,Houthulst,Arable_field,h
AH1,AH,Rijswijk,Grassland,i
AH2,AH,Rijswijk,Grassland,i
AI1,AI,Rijswijk,Food_forest,i
AI2,AI,Rijswijk,Food_forest,i
AJ1,AJ,Rijswijk,Arable_field,i
AJ2,AJ,Rijswijk,Arable_field,i
AK1,AK,Rijswijk,Forest,i
AK2,AK,Rijswijk,Forest,i
AL1,AL,Oostwaard,Grassland,j
AL2,AL,Oostwaard,Grassland,j
AM1,AM,Oostwaard,Forest,j
AM2,AM,Oostwaard,Forest,j
AN1,AN,Oostwaard,Food_forest,j
