Species,Affinity to forests,Food forest,Forest,Grassland,Cropland,Total
Nemastomatidae,,,,,,
Mitostoma chrysomelas,Strong,0,7,0,0,7
Nemastoma bimaculatum,Strong,10,14,0,0,24
Nemastoma dentigerum,Strong-open,10,25,2,0,37
Nemastoma lugubre,Strong,4,8,0,0,12
Nemastoma spec.,NA,4,0,0,0,4
Nemastomatidae spec.,NA,1,1,0,0,2
Paranemastoma quadripunctatum,Strong-closed,1,4,0,0,5
Phalangiidae,,,,,,
Lacinius ephippiatus,Strong-open,0,15,0,29,44
Lophopilio palpinalis,Strong,0,12,0,0,12
Oligolophus tridens,Moderate,53,43,5,0,101
Paroligolophus agrestis,Moderate,2,2,0,0,4
Phalangiidae spec.,NA,38,43,10,2,93
Phalangium opilio,None,1,0,2,2,5
Rilaena triangularis,strong-open,13,11,10,3,37
Sclerosomatidae,,,,,,
Homalenotus quadridentatus,weak,3,1,0,0,4
Leiobunum spec.,NA,3,0,2,0,5
Trogulidae,,,,,,
Anelasmocephalus cambridgei,Strong,0,2,0,0,2
Trogulus closaniscus,Moderate,0,4,0,0,4
